player,team,position_group,player_profile
Miguel Gutiérrez Ortega,Girona,defensa,"Lateral con peso en progresión, amplitud y entradas al último tercio."
Arnau Martinez,Girona,defensa,"Lateral derecho participativo, útil para medir salida, amplitud y circulación."
David López Silva,Girona,defensa,Central con responsabilidad en salida y primer pase.
Abel Ruiz Ortega,Girona,delantero,Atacante que fija centrales y participa en zonas de remate.
Paulo Dino Gazzaniga,Girona,portero,"Portero, relevante en acciones de inicio y eventos defensivos."
Oriol Romeu Vidal,Girona,mediocentro,"Mediocentro de equilibrio, apoyo a salida y recuperación."
Daley Blind,Girona,defensa,Central con alto volumen de pase y peso en organización desde atrás.
Bryan Gil Salvatierra,Girona,extremo,"Jugador de banda con regate, desborde y participación ofensiva."
Yangel Clemente Herrera Ravelo,Girona,mediocentro,"Interior o mediocentro de llegada, duelos y contribución en presión."
Iván Martín Núñez,Girona,mediapunta,"Jugador entre líneas, apoyo a la progresión y asociación ofensiva."
Cristian Portugués Manzanera,Girona,extremo,"Jugador de banda, útil para interpretar amplitud y centros."
Gabriel Osei Misehouy,Girona,mediapunta,Jugador ofensivo; si aparece con xG alto conviene revisar su localización de remates.
Rui Tiago Dantas da Silva,Real Betis,portero,"Portero, relevante en distribución inicial y acciones defensivas."
Diego Javier Llorente Ríos,Real Betis,defensa,"Central, importante para despejes, duelos y salida de balón."
Marc Bartra Aregall,Real Betis,defensa,Central con posible peso en salida y acciones de valor acumulado.
Juan Miguel Jiménez López,Real Betis,extremo,"Atacante de banda, relevante en progresión y finalización."
Nabil Fekir,Real Betis,mediapunta,"Mediapunta creativo, relevante en pase final, faltas recibidas y OBV."
William Silva de Carvalho,Real Betis,mediocentro,"Mediocentro de control, duelos y continuidad de posesión."
Romain Perraud,Real Betis,defensa,Lateral izquierdo con participación en banda y posible llegada al último tercio.
Pablo Fornals Malla,Real Betis,mediapunta,"Jugador de apoyo ofensivo, pase y conexión entre líneas."
Marc Roca Junqué,Real Betis,mediocentro,"Mediocentro de pase, equilibrio y presión tras pérdida."
Youssouf Sabaly,Real Betis,defensa,"Lateral derecho, útil para medir amplitud y duelos defensivos."
Aitor Ruibal García,Real Betis,delantero,"Atacante de movilidad y presión, relevante en trabajo sin balón."
Alejandro Padilla Pérez,Athletic Club,portero,Portero; contexto auxiliar para alineaciones StatsBomb.
Andoni Gorosabel Espinosa,Athletic Club,defensa,"Lateral derecho; relevante en amplitud, centros y duelos."
Yeray Álvarez López,Athletic Club,defensa,"Central; relevante en despejes, duelos e inicio de juego."
Aitor Paredes Casamichana,Athletic Club,defensa,Central; contexto auxiliar de línea defensiva.
Yuri Berchiche Izeta,Athletic Club,defensa,Lateral izquierdo; aporta amplitud y progresión por banda.
Beñat Prados Díaz,Athletic Club,mediocentro,"Mediocentro; equilibrio, presión y recuperación."
Mikel Vesga Arruti,Athletic Club,mediocentro,"Mediocentro; control, duelos y pase de seguridad."
Iñaki Williams Arthuer,Athletic Club,extremo,Atacante de banda y profundidad; útil para interpretar ataques verticales.
Oihan Sancet Tirapu,Athletic Club,mediapunta,"Mediapunta; llegada, asociación y amenaza en zonas interiores."
Alejandro Berenguer Remiro,Athletic Club,extremo,"Jugador de banda; centros, desborde y finalización."
Gorka Guruzeta Rodríguez,Athletic Club,delantero,Delantero centro; referencia de remate y fijación.
David Soria Solís,Getafe,portero,Portero; relevante en intervenciones defensivas y distribución inicial.
Juan Antonio Iglesias Sánchez,Getafe,defensa,"Lateral derecho; duelos, despejes y amplitud."
Djené Dakonam Ortega,Getafe,defensa,"Defensa central; duelos, despejes y juego directo."
