team,coach,tactical_style,historical_context
Girona,no especificado,"Equipo asociado a circulación paciente, progresión combinativa, laterales profundos y acumulación de pases antes de acelerar en campo rival.","Contexto auxiliar para informes: se interpreta bien con volumen de pases, entradas al último tercio, xG, presión tras pérdida y participación de mediocentros y laterales."
Real Betis,no especificado,"Equipo de perfil técnico que suele valorarse por posesión, juego interior, mediapuntas entre líneas y ataques con pausa antes de buscar ventaja en zonas de remate.","Contexto auxiliar para informes: conviene revisar eficiencia de pase, creación de tiros, faltas recibidas, OBV y participación de mediocampistas creativos."
Athletic Club,no especificado,"Equipo de ritmo alto, intensidad competitiva, presión, uso de bandas y ataques verticales cuando recupera cerca del área rival.","Contexto auxiliar para informes: se interpreta con presiones, recuperaciones, centros, entradas al último tercio, tiros y capacidad para sostener intensidad."
Getafe,no especificado,"Equipo competitivo, fuerte en duelos, defensa compacta, juego directo y capacidad para generar interrupciones y segundas jugadas.","Contexto auxiliar para informes: faltas, duelos, recuperaciones, despejes, pases largos y zonas de finalización ayudan a contextualizar el plan de partido."
Barcelona,no especificado,"Equipo de posesión, circulación alta, presión tras pérdida y búsqueda de superioridades con extremos, interiores y laterales proyectados.","Contexto auxiliar para informes: pase, campo medio/final, entradas al área, xG, recuperación alta y localización media de eventos son métricas especialmente útiles."
Real Madrid,no especificado,"Equipo de alta capacidad para alternar ataques posicionales con transiciones rápidas, acumulando acciones de gran valor cerca del área rival.","Contexto auxiliar para informes: conviene separar dominio territorial, velocidad de progresión, xG, tiros tras recuperación y OBV de acciones decisivas."
Atlético Madrid,no especificado,"Equipo flexible, competitivo, con fases de bloque medio/bajo, presión selectiva y ataques verticales cuando encuentra espacios.","Contexto auxiliar para informes: recuperaciones, faltas, despejes, intensidad por tramos y calidad de los tiros ayudan a medir su plan."
Real Sociedad,no especificado,"Equipo asociado a presión coordinada, buena ocupación del medio, salida limpia y ataques con apoyos cercanos.","Contexto auxiliar para informes: pases progresivos, presiones, recuperaciones, participación de interiores y xG tras secuencias largas son útiles."
Sevilla,no especificado,"Equipo con tradición competitiva, uso de bandas, centros, duelos y fases de ritmo alto en campo rival.","Contexto auxiliar para informes: tiros, centros, faltas, recuperaciones y eventos en último tercio ayudan a interpretar el rendimiento."
Valencia,no especificado,"Equipo que puede alternar repliegue, presión por momentos y ataques con velocidad por fuera.","Contexto auxiliar para informes: intensidad por intervalos, recuperaciones, pases verticales, xG y participación de extremos ayudan a explicar su partido."
Villarreal,no especificado,"Equipo de perfil combinativo, buena relación entre mediocampo y ataque, circulación técnica y búsqueda de ventajas interiores.","Contexto auxiliar para informes: precisión de pase, xG, OBV, conducciones y entradas al último tercio son señales útiles."
Osasuna,no especificado,"Equipo competitivo, intenso en disputas, agresivo en presión por fases y peligroso en acciones directas o centros laterales.","Contexto auxiliar para informes: recuperaciones, duelos, faltas, centros, tiros y actividad por bandas permiten describir su plan."
Celta Vigo,no especificado,"Equipo con tendencia a combinar juego interior, movilidad ofensiva y progresiones con balón cuando encuentra continuidad.","Contexto auxiliar para informes: secuencias de pase, conducciones, xG, OBV y participación de atacantes interiores son claves."
Rayo Vallecano,no especificado,"Equipo de alta energía, presión, verticalidad y búsqueda frecuente de situaciones por bandas.","Contexto auxiliar para informes: presiones, recuperaciones, eventos en campo rival y tiros tras recuperación explican bien su rendimiento."
Mallorca,no especificado,"Equipo que suele valorarse por orden defensivo, duelos, juego directo y eficacia en momentos concretos.","Contexto auxiliar para informes: despejes, faltas, recuperaciones, tiros concedidos y xG propio ayudan a contextualizar el partido."
Deportivo Alavés,no especificado,"Equipo de perfil competitivo, con importancia de duelos, repliegue, centros y ataques rápidos tras recuperación.","Contexto auxiliar para informes: faltas, recuperaciones, despejes, pases largos y eventos en banda son relevantes."
Las Palmas,no especificado,"Equipo asociado a salida elaborada, posesión, paciencia con balón y búsqueda de progresar mediante pases cortos.","Contexto auxiliar para informes: precisión de pase, campo medio, pérdidas, recuperaciones tras pérdida y entradas al último tercio son útiles."
Espanyol,no especificado,"Equipo que puede alternar ataques directos, orden defensivo y fases de presión según el contexto del partido.","Contexto auxiliar para informes: intensidad, recuperaciones, tiros, faltas y eventos por zonas ayudan a describir su plan."
Leganés,no especificado,"Equipo competitivo y pragmático, con importancia de bloque, duelos, transiciones y acciones de balón parado.","Contexto auxiliar para informes: faltas, despejes, recuperaciones, duelos y xG de pocas ocasiones pueden ser decisivos."
Real Valladolid,no especificado,Equipo que puede combinar fases de posesión con ataques más directos y necesidad de controlar pérdidas en campo propio.,"Contexto auxiliar para informes: pérdidas, recuperaciones rivales, precisión de pase, xG y actividad defensiva ayudan a interpretar el partido."
Cádiz,no especificado,"Equipo de bloque compacto, duelos, juego directo y búsqueda de eficacia en pocas llegadas.","Contexto auxiliar para informes: despejes, faltas, recuperaciones, pases largos y calidad de los tiros son indicadores clave."
Granada,no especificado,"Equipo con necesidad frecuente de equilibrar protección del área, transiciones y acumulación de acciones defensivas.","Contexto auxiliar para informes: tiros concedidos, despejes, recuperaciones, faltas y xG en contra ayudan a explicar el desarrollo."
Almería,no especificado,"Equipo que puede aparecer en informes por transiciones, espacios abiertos y partidos de ritmo variable.","Contexto auxiliar para informes: xG, tiros, pérdidas, recuperaciones y tramos de intensidad permiten contextualizar su rendimiento."
